loss,params,iteration,estimators,train_time
0.24106632694311259,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7797352680205418, 'learning_rate': 0.057763711615531246, 'min_child_samples': 290, 'num_leaves': 48, 'reg_alpha': 0.2680922973455825, 'reg_lambda': 0.7477306711587303, 'subsample_for_bin': 40000, 'subsample': 1.0, 'metric': 'auc'}",43,15,1.3789887651500976
0.24693534971468656,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.7145956989965992, 'learning_rate': 0.01675685493387815, 'min_child_samples': 100, 'num_leaves': 85, 'reg_alpha': 0.643427112229189, 'reg_lambda': 0.839751295956753, 'subsample_for_bin': 140000, 'subsample': 0.8973596807670751, 'metric': 'auc'}",44,28,2.800122222987227
0.23868769764674713,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.687923945676217, 'learning_rate': 0.03652183602319931, 'min_child_samples': 390, 'num_leaves': 133, 'reg_alpha': 0.8473968855802558, 'reg_lambda': 0.4967205738670222, 'subsample_for_bin': 220000, 'subsample': 0.6454540448515305, 'metric': 'auc'}",45,10,2.829250466889249
0.23517578695097774,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7510839504549205, 'learning_rate': 0.020875768479522338, 'min_child_samples': 180, 'num_leaves': 74, 'reg_alpha': 0.7382790193202043, 'reg_lambda': 0.6457399411944235, 'subsample_for_bin': 120000, 'subsample': 0.7339984458591435, 'metric': 'auc'}",46,140,4.34690758308534
0.23894142081497993,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6189800389531459, 'learning_rate': 0.03032240877176154, 'min_child_samples': 460, 'num_leaves': 38, 'reg_alpha': 0.3800664541159715, 'reg_lambda': 0.3974669355340731, 'subsample_for_bin': 240000, 'subsample': 0.6053836199439797, 'metric': 'auc'}",47,6,2.5508373643113202
0.23951556005046581,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.65983073425856, 'learning_rate': 0.013657816463472357, 'min_child_samples': 235, 'num_leaves': 53, 'reg_alpha': 0.3123051928721974, 'reg_lambda': 0.7194595074420553, 'subsample_for_bin': 60000, 'subsample': 1.0, 'metric': 'auc'}",48,72,2.3433439576384956
0.23823244053622994,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.805317012368608, 'learning_rate': 0.03983669457456757, 'min_child_samples': 345, 'num_leaves': 96, 'reg_alpha': 0.15151386503647873, 'reg_lambda': 0.9196198332458418, 'subsample_for_bin': 180000, 'subsample': 0.8459441186201808, 'metric': 'auc'}",49,96,3.209820262073805
0.24384828287791716,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8676872124624854, 'learning_rate': 0.010637936882691648, 'min_child_samples': 130, 'num_leaves': 109, 'reg_alpha': 0.19778325428796567, 'reg_lambda': 0.535360456818994, 'subsample_for_bin': 40000, 'subsample': 0.9588152419173379, 'metric': 'auc'}",50,104,4.834245444114629
0.2386840030451658,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7260666567274308, 'learning_rate': 0.05692718499298824, 'min_child_samples': 415, 'num_leaves': 122, 'reg_alpha': 0.8357937817262642, 'reg_lambda': 0.8164360304529148, 'subsample_for_bin': 200000, 'subsample': 0.7973260341338071, 'metric': 'auc'}",51,14,2.808387028625731
0.2617652693658631,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.9550013736686039, 'learning_rate': 0.016617090361973712, 'min_child_samples': 70, 'num_leaves': 69, 'reg_alpha': 0.5046263152879054, 'reg_lambda': 0.19412171254733868, 'subsample_for_bin': 160000, 'subsample': 0.5957997981805782, 'metric': 'auc'}",52,35,6.07396286867359
